Group,length,Macrel,Macrel_probability,Out1,Out1 Prob,Out9,Out9 Prob,Vote2,Vote2 Prob,charge_pH7,charge_density,muH,KD_raw,KD_norm01,HelixProp,HRC_pct,SAI,Aromatic_frac,PG_frac,WWIHP_mean,Boman,Instability,pI,Hmoment,AIPx,Zsum,z_muH,z_charge_density,z_GRAVY,z_HelixProp,z_HRC,z_SAI,verdict,Macrel_AMP,AIPx_tier
P_A30K,17,AMP,0.634,AMP,0.601,AMP,0.557,AMP,0.586,1.998,0.1175,0.909,0.471,0.552,0.972,52.94,0.157,0.059,0.176,-0.132,0.986,43.859,12.5,0.909,0.697,0.831,2.73,-0.32,1.48,-0.39,0.53,-0.29,AMP-like,TRUE,Strong
P_A30K,19,AMP,0.713,AMP,0.857,AMP,0.836,AMP,0.836,2.998,0.1578,0.657,0.863,0.596,0.991,52.63,0.216,0.105,0.158,-0.366,0.249,3.963,12.516,0.657,0.685,0.778,1.05,0.08,3.05,-0.3,0.51,0.11,AMP-like,TRUE,Strong
P_A30K,15,AMP,0.594,NonAMP,0.528,NonAMP,0.82,NonAMP,0.757,0.999,0.0666,0.667,0.607,0.567,1.113,53.33,0.303,0,0.067,0.096,0.726,9.333,9.695,0.667,0.649,0.615,1.11,-0.83,2.03,0.31,0.56,0.69,AMP-like,TRUE,Strong
P_A30K,17,AMP,0.743,NonAMP,0.599,NonAMP,0.68,NonAMP,0.618,0.998,0.0587,0.57,0.659,0.573,1.009,70.59,0.329,0.118,0.176,-0.185,0.156,11.312,9.695,0.57,0.641,0.581,0.47,-0.91,2.24,-0.21,1.71,0.86,Unlikely,TRUE,Moderate
P_A30K,17,AMP,0.634,AMP,0.689,NonAMP,0.699,NonAMP,0.634,1.088,0.064,0.441,0.918,0.602,1.151,64.71,0.306,0.059,0.059,-0.209,-0.822,7.718,9.301,0.441,0.637,0.564,-0.39,-0.86,3.27,0.5,1.31,0.71,AMP-like,TRUE,Moderate
P_A30K,14,AMP,0.703,AMP,0.768,NonAMP,0.571,NonAMP,0.511,1.998,0.1427,0.709,0.6,0.567,0.959,42.86,0.2,0,0.286,-0.116,0.019,-19.407,11.652,0.709,0.633,0.544,1.39,-0.07,2,-0.46,-0.14,0,AMP-like,TRUE,Moderate
P_A30K,15,AMP,0.743,AMP,0.828,AMP,0.717,AMP,0.684,3.088,0.2059,0.638,0.3,0.533,1.026,53.33,0.06,0.067,0.2,-0.229,0.323,11.007,11.823,0.638,0.607,0.434,0.92,0.56,0.8,-0.12,0.56,-0.93,AMP-like,TRUE,Moderate
P_A30K,21,AMP,0.703,AMP,0.557,AMP,0.643,AMP,0.702,3.09,0.1472,0.665,0.39,0.543,1.022,52.38,0.078,0.048,0.143,-0.011,1.348,10.324,12.223,0.665,0.602,0.415,1.1,-0.03,1.16,-0.14,0.49,-0.81,AMP-like,TRUE,Moderate
P_A30K,18,AMP,0.802,AMP,0.588,NonAMP,0.685,NonAMP,0.639,1.998,0.111,0.609,0.578,0.564,0.994,50,0.193,0.056,0.222,-0.032,-0.456,11.789,10.12,0.609,0.597,0.394,0.73,-0.39,1.91,-0.28,0.33,-0.05,AMP-like,TRUE,Moderate
P_A30K,16,AMP,0.584,NonAMP,0.589,NonAMP,0.59,NonAMP,0.553,0.998,0.0624,0.57,0.462,0.551,0.997,68.75,0.231,0.125,0.188,-0.119,0.473,11.394,9.695,0.57,0.593,0.377,0.47,-0.88,1.45,-0.27,1.58,0.21,Unlikely,TRUE,Moderate
